timestamp,accountId,transactionAmount
2025-06-13 10:00:00,acct1,400.00
2025-06-13 10:15:00,acct1,350.00
2025-06-13 10:45:00,acct1,300.00
2025-06-13 12:00:00,acct2,600.00
2025-06-13 12:15:00,acct2,450.00
2025-06-13 12:30:00,acct2,200.00
2025-06-13 14:00:00,acct3,150.00
2025-06-13 14:30:00,acct3,250.00
2025-06-13 15:00:00,acct3,100.00
2025-06-13 16:00:00,acct1,500.00
2025-06-13 16:15:00,acct1,300.00
2025-06-13 16:30:00,acct1,250.00
2025-06-13 18:00:00,acct4,800.00
2025-06-13 18:10:00,acct4,300.00
2025-06-13 18:20:00,acct4,100.00
